Area,Price in Rs
285,551000
300,550000
300,521000
348,1100000
400,521000
450,1200000
451,999999
460,2100000
500,1350000
523,1150000
541,1425000
550,1299999
550,1175000
550,1299990
550,1000000
552,1550000
554,909000
554,969500
570,1700000
575,1350000
576,1621000
577,1600000
580,1200000
596,1521000
600,1800000
600,1550000
600,900000
610,1700000
639,1700000
657,1575000
670,1700000
680,1800000
690,2800000
690,2000000
700,15000
702,2800000
750,2300000
756,2200000
770,1650000
800,4000000
815,1996000
860,1677000
875,1800000
878,2100000
900,2200000
915,2650000
915,2600000
915,2600000
939,2400000
941,1790000
950,2500000
950,2500000
960,2400000
960,1800000
965,1900000
1015,2200000
1015,2251000
1060,3300000
1060,2800000
554,909000
1100,2900000
552,1550000
1150,3800000
554,969500
1060,3500000
1075,3300000
1277,4700000
1300,4500000
1300,4000000
1300,4200000
1161,2551000
1170,2551000
1180,3500000
1200,3300000
1200,4600000
1200,3251000
400,521000
450,1200000
451,999999
2500,11500000
2500,11100000
285,551000
300,550000
300,521000
348,1100000
460,2100000
500,1350000
1106,2900000
1120,3500000
1121,2341000
550,1299999
550,1175000
550,1299990
550,1000000
1640,3800000
1640,4300000
1650,4100000
1100,3350000
1100,2650000
1122,3651000
1130,1700000
1150,3571000
1150,3800000
1160,3200000
1250,3200000
1250,3200000
1352,3100000
1362,4600000
1370,4600000
1500,5000000
1575,7500000
1640,3800000
1752,7900000
1840,8000000
1890,6300000
1983,5200000
2100,9500000
2500,10500000
523,1150000
541,1425000
1690,5800000
1700,5100000
